tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
kssd	sample_0	1.5558359999999984	145.00001899999995	0.15954800000000002	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.266056201928454	0.8173070112244649	0.079774
kssd	sample_33	1.6317410000000012	150.00001699999996	0.270127	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.3529635829786875	0.8486522231389199	0.13506343246828378
kssd	sample_34	1.5358519999999976	152.00001599999996	0.11202100000000001	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.263829252135243	0.8165038088687215	0.056010471994764006
kssd	sample_35	1.6453460000000018	146.00001599999996	0.158417	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.319515458211261	0.8365883622066694	0.07920846039576981
kssd	sample_36	1.5369639999999993	140.00001599999996	0.143979	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.1953577317347235	0.7918079281377323	0.07198960798441197
kssd	sample_37	1.552992000000002	142.00001699999996	0.263822	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2147358949731406	0.7987971231391325	0.131911
kssd	sample_38	1.5260179999999992	153.00000599999998	0.16056099999999998	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.335235573469037	0.8422581952878186	0.08028062042093062
kssd	sample_39	1.5816219999999983	139.00002599999993	0.08428500000000003	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.236317143438309	0.8065809131733552	0.042142521071260555
kssd	sample_4	1.6978449999999996	149.00002199999994	0.158303	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2389837703103472	0.8075426955144029	0.0791514604242698
kssd	sample_40	1.504789	115.00000299999998	0.131433	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2897754574459563	0.8258619243016347	0.06571646714176643
kssd	sample_41	1.6262860000000008	132.00000799999998	0.09610199999999995	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.1646276168685255	0.7807243820568792	0.04805095194904803
kssd	sample_42	1.630255000000001	162.00001699999996	0.15567600000000004	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.269691855233452	0.8186182959728431	0.07783800000000002
kssd	sample_43	1.5223200000000026	159.00001099999997	0.127921	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2728459994613988	0.8197559130318199	0.063960531980266
kssd	sample_44	1.5264779999999996	151.00001399999996	0.18825199999999997	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.315627488334321	0.8351860734915227	0.09412609412609414
kssd	sample_45	1.5504910000000014	140.0	0.160777	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2721575157232365	0.8195075950131251	0.08038845980577008
kssd	sample_46	1.594365	147.00001499999996	0.16113000000000002	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2599611361278327	0.815108680923353	0.080565
kssd	sample_47	1.6754139999999984	144.00000799999998	0.13567	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.3387775175055707	0.8435356815619719	0.06783493216506783
kssd	sample_48	1.4533249999999993	164.00001999999995	0.14183600000000002	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.305456235967678	0.8315175696542761	0.070918
kssd	sample_49	1.5009609999999987	153.00001299999997	0.18872	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.3048818693580793	0.8313104106894462	0.09436
kssd	sample_5	1.6827880000000006	142.00000599999998	0.17928800000000003	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2969762385538095	0.8284590571003414	0.089644
kssd	sample_50	1.6695030000000002	156.00001499999996	0.184655	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2950502695299817	0.8277644106104459	0.09232754616377309
kssd	sample_51	1.3832149999999994	168.00003199999992	0.13285999999999995	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.265151106424771	0.8169805670257915	0.06643006643006641
kssd	sample_32	1.419684999999999	144.00002299999994	0.17889499999999997	0.9333333333333333	0.9333333333333333	0.9333333333333333	14.0	1.0	1.0	15.0	0.875	2.2957752419316613	0.8477594842951036	0.08944754472377234
kssd	sample_52	1.6573850000000017	147.00001699999996	0.21181499999999992	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.3198867701158643	0.8367222846675181	0.10590755295377648
kssd	sample_31	1.622166000000001	153.99999100000002	0.14038899999999999	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2857481321384525	0.8244093737393392	0.07019446490276753
kssd	sample_3	1.6769450000000012	155.000005	0.12143199999999998	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.248150072542552	0.8108487402078257	0.06071606071606071
kssd	sample_190	1.7847040000000007	147.999999	0.17383799999999996	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.156112909388936	0.7776533504930232	0.0869189130810869
kssd	sample_191	1.6099870000000005	144.00002299999994	0.14512099999999994	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.1781687877634304	0.7856083270813565	0.07256053628026811
kssd	sample_192	1.7689550000000003	184.00000699999998	0.164291	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.308791287823649	0.8327204353477056	0.08214554107277051
kssd	sample_193	1.9587190000000005	127.00001499999999	0.25758099999999995	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2653190721524417	0.8170411478563789	0.12879056439528222
kssd	sample_194	1.5958890000000014	172.00002499999994	0.199908	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.406978456014254	0.8681339705045845	0.09995390004609996
kssd	sample_195	1.6839660000000005	152.00000599999998	0.143528	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.208251198664724	0.7964582633376767	0.07176392823607176
kssd	sample_196	1.5265400000000011	137.00000899999998	0.20662900000000006	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.226033340905683	0.80287181544453	0.10331455165727585
kssd	sample_197	1.7022359999999996	158.00000899999998	0.20854199999999998	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2556072769483473	0.8135383581616098	0.10427099999999999
kssd	sample_198	1.7831419999999982	157.000005	0.22256100000000015	1.0	0.9375	0.967741935483871	15.0	1.0	0.0	16.0	0.9375	2.2624639937127444	0.8160113959798039	0.11128055564027786
