tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
kssd	sample_0	1.5558359999999984	145.00001899999995	0.014902000000000077	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.226207422463416	0.326348326600245	0.007451000000000038
kssd	sample_33	1.6317410000000012	150.00001699999996	0.00017800000000011806	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2935858776287661	0.4235548897300549	8.900000000005903e-05
kssd	sample_34	1.5358519999999976	152.00001599999996	0.016200000000000023	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.14863368197271756	0.21443307589110697	0.008100000000000012
kssd	sample_35	1.6453460000000018	146.00001599999996	0.007640000000000047	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.2630555937008207	0.3795090005102761	0.0038200000000000235
kssd	sample_36	1.5369639999999993	140.00001599999996	0.013306000000000023	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.15622447105812085	0.22538426966105235	0.006653000000000011
kssd	sample_37	1.552992000000002	142.00001699999996	0.014305999999999992	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.23841107770478254	0.3439544794976831	0.007152999999999995
kssd	sample_38	1.5260179999999992	153.00000599999998	0.005433999999999966	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.31936573626368103	0.46074736393746524	0.002716999999999983
kssd	sample_39	1.5816219999999983	139.00002599999993	0.0021279999999999433	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.30580174666987825	0.44117866341581646	0.0010639999999999717
kssd	sample_4	1.6978449999999996	149.00002199999994	0.021088000000000006	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.30271131138511925	0.4367201077563064	0.010544000000000001
kssd	sample_40	1.504789	115.00000299999998	0.007469999999999928	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.23918733210379794	0.34507437786961087	0.003734999999999964
kssd	sample_41	1.6262860000000008	132.00000799999998	0.004626000000000046	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.23508416159385412	0.33915475412299306	0.002313000000000023
kssd	sample_42	1.630255000000001	162.00001699999996	0.019519999999999992	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.18949203430310496	0.27337921817705085	0.009759999999999996
kssd	sample_43	1.5223200000000026	159.00001099999997	0.010613999999999964	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	0.19778732371369734	0.28534679107245126	0.005306999999999982
