tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	sample_0	0.0
Gold standard	phylum	Bray-Curtis distance	sample_0	0.0
Gold standard	class	Bray-Curtis distance	sample_0	0.0
Gold standard	order	Bray-Curtis distance	sample_0	0.0
Gold standard	family	Bray-Curtis distance	sample_0	0.0
Gold standard	genus	Bray-Curtis distance	sample_0	0.0
Gold standard	species	Bray-Curtis distance	sample_0	0.0
Gold standard	strain	Bray-Curtis distance	sample_0	0.0
Gold standard	superkingdom	Shannon diversity	sample_0	0.0
Gold standard	superkingdom	Shannon equitability	sample_0	0.0
Gold standard	phylum	Shannon diversity	sample_0	0.24626947603493388
Gold standard	phylum	Shannon equitability	sample_0	0.35529175179792255
Gold standard	class	Shannon diversity	sample_0	1.0070305093386753
Gold standard	class	Shannon equitability	sample_0	0.6257032356194784
Gold standard	order	Shannon diversity	sample_0	2.2112010666805686
Gold standard	order	Shannon equitability	sample_0	0.8165288316223172
Gold standard	family	Shannon diversity	sample_0	2.9972683159078306
Gold standard	family	Shannon equitability	sample_0	0.9199445998392538
Gold standard	genus	Shannon diversity	sample_0	3.5794604328348183
Gold standard	genus	Shannon equitability	sample_0	0.91498961735862
Gold standard	species	Shannon diversity	sample_0	4.184476018964618
Gold standard	species	Shannon equitability	sample_0	0.9549179792413642
Gold standard	strain	Shannon diversity	sample_0	4.184476018964618
Gold standard	strain	Shannon equitability	sample_0	0.9549179792413642
Gold standard	superkingdom	True positives	sample_0	1.0
Gold standard	superkingdom	False negatives	sample_0	0.0
Gold standard	superkingdom	False positives	sample_0	0.0
Gold standard	superkingdom	Completeness	sample_0	1.0
Gold standard	superkingdom	Purity	sample_0	1.0
Gold standard	superkingdom	F1 score	sample_0	1.0
Gold standard	superkingdom	Jaccard index	sample_0	1.0
Gold standard	superkingdom	Taxon counts	sample_0	1.0
Gold standard	phylum	True positives	sample_0	2.0
Gold standard	phylum	False negatives	sample_0	0.0
Gold standard	phylum	False positives	sample_0	0.0
Gold standard	phylum	Completeness	sample_0	1.0
Gold standard	phylum	Purity	sample_0	1.0
Gold standard	phylum	F1 score	sample_0	1.0
Gold standard	phylum	Jaccard index	sample_0	1.0
Gold standard	phylum	Taxon counts	sample_0	2.0
Gold standard	class	True positives	sample_0	5.0
Gold standard	class	False negatives	sample_0	0.0
Gold standard	class	False positives	sample_0	0.0
Gold standard	class	Completeness	sample_0	1.0
Gold standard	class	Purity	sample_0	1.0
Gold standard	class	F1 score	sample_0	1.0
Gold standard	class	Jaccard index	sample_0	1.0
Gold standard	class	Taxon counts	sample_0	5.0
Gold standard	order	True positives	sample_0	15.0
Gold standard	order	False negatives	sample_0	0.0
Gold standard	order	False positives	sample_0	0.0
Gold standard	order	Completeness	sample_0	1.0
Gold standard	order	Purity	sample_0	1.0
Gold standard	order	F1 score	sample_0	1.0
Gold standard	order	Jaccard index	sample_0	1.0
Gold standard	order	Taxon counts	sample_0	15.0
Gold standard	family	True positives	sample_0	26.0
